,Accuracy,AUC,F1,Precision,Recall,CV_AUC
Logistic Regression,0.6948,0.8011,0.5053,0.5854,0.4444,0.8364
Random Forest,0.7143,0.7836,0.551,0.6136,0.5,0.8333
XGBoost (GradBoost),0.6883,0.7883,0.5472,0.5577,0.537,0.807
Decision Tree,0.7468,0.7906,0.6061,0.6667,0.5556,0.7154
KNN,0.7078,0.7656,0.5361,0.6047,0.4815,0.8116
SVM,0.7078,0.765,0.5545,0.5957,0.5185,0.834
